id,weeklong_id,user_id,player_code,type,status,poisoned,points,kills,starve_date
1,1,69,5674b,normal,human,0,0,0,NULL
2,1,67,967a5,normal,human,0,0,0,NULL
3,1,113,ffb6b,normal,human,0,0,0,NULL
4,1,70,f8ed0,normal,human,0,0,0,NULL
5,1,71,25e69,normal,human,0,0,0,NULL
6,1,72,7ae7a,normal,human,0,0,0,NULL
7,1,75,efee6,normal,human,0,0,0,NULL
8,1,73,f75b1,normal,human,0,0,0,NULL
9,1,74,cf90d,normal,human,0,0,0,NULL
10,1,80,1bfd1,normal,human,0,0,0,NULL
11,1,81,fd71f,normal,human,0,0,0,NULL
12,1,83,4e887,normal,zombie,0,10,1,"2018-09-29 22:55:00"
13,1,85,84400,normal,human,0,0,0,NULL
14,1,87,8067e,normal,human,0,0,0,NULL
15,1,91,a6462,normal,zombie,0,35,3,"2018-09-30 16:40:19"
16,1,92,5fb5d,normal,zombie,0,40,0,"2018-09-29 01:10:41"
17,1,93,d65d0,normal,zombie,0,20,0,"2018-09-29 01:09:42"
18,1,95,1a0d8,normal,human,0,0,0,NULL
19,1,101,003f8,normal,zombie,0,20,4,"2018-09-30 14:56:50"
20,1,104,176c4,normal,zombie,0,20,0,"2018-09-29 21:17:22"
21,1,105,81ede,normal,human,0,0,0,NULL
22,1,99,c2760,normal,human,0,0,0,NULL
23,1,1,a88b4,oz,zombie,0,10,2,"2018-09-29 22:55:00"
24,1,110,b235a,normal,human,0,0,0,NULL
25,1,111,0dc90,normal,zombie,0,45,1,"2018-09-29 21:43:41"
26,1,114,d1b6b,normal,human,0,0,0,NULL
27,1,115,7b7d4,normal,zombie,0,0,0,"2018-09-30 14:56:50"
28,1,116,3eae9,normal,human,0,0,0,NULL
29,1,118,44de8,normal,human,0,0,0,NULL
30,1,119,f7031,normal,human,0,0,0,NULL
31,1,28,db77a,normal,human,0,0,0,NULL
32,1,120,1a7a8,normal,human,0,0,0,NULL
33,1,123,825e5,normal,human,0,0,0,NULL
34,1,124,cce86,normal,human,0,0,0,NULL
35,1,125,6a1c8,normal,zombie,0,0,0,"2018-09-29 21:01:37"
36,1,126,164ea,normal,zombie,0,10,2,"2018-09-30 20:34:00"
37,1,127,5bc04,normal,zombie,0,0,0,"2018-09-30 20:34:00"
38,1,121,a5d72,normal,human,0,0,0,NULL
39,1,128,e3dcf,normal,human,0,0,0,NULL
40,1,129,611b3,normal,human,0,0,0,NULL
41,1,131,d72c2,normal,human,0,0,0,NULL
42,1,132,9ec78,normal,zombie,0,10,0,"2018-09-30 18:15:31"
43,1,133,80dd9,normal,zombie,0,20,2,"2018-09-30 18:15:31"
44,1,134,72794,normal,human,0,0,0,NULL
45,1,96,4bed2,normal,human,0,0,0,NULL
46,1,135,4845a,normal,human,0,0,0,NULL
47,1,136,8feff,normal,human,0,0,0,NULL
48,1,137,574f5,normal,human,0,0,0,NULL
49,1,130,9f839,normal,human,0,0,0,NULL
50,1,140,a0aa4,normal,human,0,0,0,NULL
51,1,94,a5575,normal,human,0,0,0,NULL
52,1,106,10fb1,normal,deceased,0,5,1,"2018-09-26 17:14:16"
53,1,142,9b87e,normal,human,0,0,0,NULL
54,1,147,649ff,normal,zombie,0,45,3,"2018-09-29 17:53:12"
55,1,148,965c3,normal,human,0,0,0,NULL
56,1,149,9e3f4,normal,human,0,0,0,NULL
57,1,108,03644,normal,human,0,0,0,NULL
58,1,151,cdd7b,normal,human,0,0,0,NULL
59,1,90,f379b,oz,zombie,0,30,6,"2018-09-29 17:53:12"
60,1,152,68e11,normal,human,0,0,0,NULL
61,1,153,0a7b8,normal,human,0,0,0,NULL
62,1,155,ec280,normal,zombie,0,5,1,"2018-09-30 19:35:27"
63,1,158,1085d,normal,zombie,0,5,1,"2018-09-30 16:40:19"
64,1,162,85552,normal,human,0,0,0,NULL
65,1,164,e524f,normal,zombie,0,0,0,"2018-09-29 16:25:01"
66,1,165,01dc6,normal,zombie,0,0,0,"2018-09-29 21:52:32"
67,1,171,37f6d,normal,zombie,0,20,0,"2018-09-30 16:17:58"
68,1,172,db707,normal,human,0,0,0,NULL
69,1,174,602ad,normal,zombie,0,0,0,"2018-09-29 17:58:44"
